2000,3,25.09,3.347002,0.000393
2000,3,24.27,3.392962,0.000381
2000,3,25.55,3.338178,0.000383
2000,3,25.73,3.356354,0.000389
2000,3,22.89,3.314697,0.000386
3000,3,25.46,4.540501,0.000442
3000,3,22.99,4.520646,0.000450
3000,3,23.90,4.907031,0.000463
3000,3,24.45,4.760411,0.000444
3000,3,25.55,4.720206,0.000441
4000,3,24.18,5.339732,0.000500
4000,3,25.55,5.359871,0.000508
4000,3,24.73,5.362204,0.000567
4000,3,25.73,5.487837,0.000502
4000,3,24.45,5.509162,0.000511
5000,3,25.27,5.842310,0.000559
5000,3,25.73,6.221263,0.000563
5000,3,26.01,6.297339,0.000567
5000,3,27.66,5.936719,0.000575
5000,3,26.28,6.088788,0.000561
6000,3,27.11,6.506080,0.000632
6000,3,25.64,6.475588,0.000624
6000,3,25.82,6.840116,0.000617
6000,3,24.45,6.842137,0.000635
6000,3,24.63,6.939448,0.000614
7000,3,24.63,7.837040,0.000699
7000,3,27.01,7.639460,0.000674
7000,3,24.73,7.485983,0.000680
7000,3,27.56,7.216251,0.000708
7000,3,24.45,7.191217,0.000677
8000,3,21.98,8.093700,0.000740
8000,3,24.36,7.894819,0.000731
8000,3,27.20,8.231766,0.000735
8000,3,23.08,7.965260,0.000733
8000,3,25.73,7.877269,0.000738
9000,3,24.36,8.454375,0.000800
9000,3,23.35,8.867331,0.000794
9000,3,25.46,8.648391,0.000809
9000,3,26.10,8.658401,0.000794
9000,3,23.63,8.782863,0.000795
10000,3,24.36,9.508602,0.000862
10000,3,27.38,9.609421,0.000851
10000,3,25.64,9.299197,0.000861
10000,3,26.01,9.307762,0.000866
10000,3,26.19,9.168915,0.000868
1000,4,51.92,2.252032,0.000332
1000,4,52.29,2.144741,0.000333
1000,4,48.90,2.178122,0.000330
1000,4,50.09,2.135787,0.000328
1000,4,52.47,2.164696,0.000326
2000,4,54.67,3.410379,0.000396
2000,4,49.36,3.394680,0.000392
2000,4,54.58,3.409328,0.000391
2000,4,52.01,3.441902,0.000398
2000,4,52.66,3.432724,0.000402
3000,4,51.28,4.818716,0.000462
3000,4,54.21,4.646027,0.000453
3000,4,52.20,4.657665,0.000456
3000,4,54.49,4.622318,0.000458
3000,4,51.56,4.903198,0.000451
4000,4,50.46,5.336671,0.000513
4000,4,51.01,5.502482,0.000510
4000,4,50.82,5.507164,0.000511
4000,4,56.41,5.582600,0.000511
4000,4,56.50,5.675076,0.000509
5000,4,52.47,5.836772,0.000573
5000,4,52.20,6.207484,0.000591
5000,4,52.66,6.315877,0.000576
5000,4,52.84,6.460152,0.000588
5000,4,53.57,5.872508,0.000580
6000,4,52.66,7.118598,0.000637
6000,4,55.04,6.889479,0.000638
6000,4,51.28,6.681874,0.000624
6000,4,50.64,7.103380,0.000624
6000,4,52.29,6.871249,0.000621
7000,4,50.27,7.577888,0.000681
7000,4,56.87,7.542378,0.000680
7000,4,51.19,7.677014,0.000675
7000,4,53.57,7.237992,0.000696
7000,4,51.19,7.530496,0.000693
8000,4,51.74,8.013262,0.000748
8000,4,52.84,8.176215,0.000733
8000,4,54.67,8.289719,0.000737
8000,4,55.68,8.092522,0.000740
8000,4,54.67,8.262374,0.000739
9000,4,52.20,8.631295,0.000809
9000,4,53.02,8.895494,0.000889
9000,4,55.22,9.028115,0.000816
9000,4,54.40,9.003465,0.000809
9000,4,52.75,9.074747,0.000817
10000,4,54.12,9.430635,0.000863
10000,4,53.39,9.099204,0.000855
10000,4,54.49,9.672341,0.000886
10000,4,51.65,9.808050,0.000874
10000,4,52.01,9.535224,0.000877
1000,5,46.61,2.241368,0.000345
1000,5,46.61,2.247258,0.000409
1000,5,40.93,2.166349,0.000334
1000,5,45.24,2.150213,0.000332
1000,5,44.60,2.214121,0.000343
2000,5,46.52,3.422996,0.000397
2000,5,46.06,3.448392,0.000399
2000,5,47.89,3.432783,0.000407
2000,5,46.70,3.432231,0.000400
2000,5,46.06,3.424858,0.000389
3000,5,46.70,4.905731,0.000477
3000,5,46.70,4.725110,0.000456
3000,5,48.44,4.815712,0.000476
3000,5,48.17,5.000891,0.000475
3000,5,46.06,5.016400,0.000473
4000,5,47.07,5.195553,0.000512
4000,5,47.07,5.700758,0.000513
4000,5,45.05,5.358817,0.000510
4000,5,50.82,5.088230,0.000508
4000,5,48.81,5.395698,0.000515
5000,5,45.97,6.027797,0.000568
5000,5,45.60,6.356184,0.000569
5000,5,47.07,6.390486,0.000586
5000,5,49.82,6.385991,0.000574
5000,5,47.99,5.992506,0.000581
6000,5,50.64,6.954440,0.000627
6000,5,50.37,6.919179,0.000628
6000,5,48.35,6.937466,0.000626
6000,5,48.35,6.678595,0.000625
6000,5,48.63,6.921134,0.000638
7000,5,48.08,7.209599,0.000689
7000,5,48.81,7.518363,0.000684
7000,5,48.44,7.674776,0.000695
7000,5,48.17,7.720379,0.000683
7000,5,51.28,7.217883,0.000692
8000,5,49.45,7.863400,0.000810
8000,5,49.27,7.755977,0.000746
8000,5,49.73,7.997934,0.000752
8000,5,48.72,8.260050,0.000757
8000,5,46.34,8.093460,0.000738
9000,5,47.25,8.787565,0.000810
9000,5,47.34,8.712806,0.000818
9000,5,47.25,8.870163,0.000817
9000,5,48.90,8.656395,0.000807
9000,5,51.37,8.936098,0.000815
10000,5,51.28,9.561062,0.000865
10000,5,50.46,9.369774,0.000857
10000,5,47.99,9.224681,0.000916
10000,5,47.44,9.575281,0.000857
10000,5,47.80,9.733992,0.000859
1000,6,62.00,2.135396,0.000327
1000,6,62.82,2.164247,0.000330
1000,6,60.81,2.165026,0.000326
1000,6,61.72,2.169365,0.000333
1000,6,62.91,2.157083,0.000326
